,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
560,izhmorskiy,56.19,-32.65,58.0,0.0,3.06
561,hojai,26.0,52.99,88.0,0.0,0.94
563,rafai,4.95,70.05,61.0,0.0,7.09
564,cascais,38.7,57.81,93.0,20.0,13.87
565,severodvinsk,64.56,32.0,100.0,90.0,11.18
566,arshan,14.32,51.6,93.0,0.0,2.95
567,atambua,-9.11,78.28,100.0,8.0,2.39
568,ugoofaaru,5.67,81.34,100.0,32.0,7.99
569,mahibadhoo,3.78,82.42,100.0,76.0,3.74
570,vangaindrano,-23.35,72.48,94.0,92.0,2.62
571,aviles,43.55,51.8,87.0,20.0,4.7
572,strezhevoy,60.73,6.8,84.0,80.0,8.95
573,krasnovka,48.37,28.24,99.0,92.0,4.18
574,havelock,34.88,47.84,40.0,1.0,10.29
575,pepel,8.59,83.55,89.0,0.0,9.55
576,khandyga,62.65,-41.11,92.0,12.0,2.73
577,erdaojiang,41.78,-12.31,56.0,0.0,4.18
578,vao,59.1,33.15,99.0,56.0,7.43
579,sines,37.96,58.48,100.0,0.0,10.67
580,cheremkhovo,53.15,-27.92,43.0,36.0,2.73
581,mogadishu,2.04,80.71,100.0,24.0,11.56
582,morondava,-20.3,78.33,91.0,0.0,1.39
584,lufilufi,-13.87,82.2,100.0,92.0,17.83
585,lebanon,43.64,32.05,59.0,90.0,4.74
586,gerash,27.67,53.6,76.0,0.0,2.06
587,boguchany,58.38,-37.15,73.0,36.0,2.51
588,ishinomaki,38.42,50.47,100.0,76.0,11.01
589,kjollefjord,70.95,38.59,74.0,75.0,20.8
590,kathmandu,27.71,46.4,93.0,20.0,4.7
591,kavaratti,10.57,83.32,100.0,20.0,7.09
592,ibotirama,-12.18,71.71,95.0,100.0,4.18
593,escalerillas,19.14,66.2,42.0,40.0,4.7
594,tynda,55.15,-19.73,53.0,12.0,8.99
595,wyndham,51.61,53.6,100.0,90.0,12.75
596,whitecourt,54.14,12.2,78.0,5.0,4.7
597,wajima,37.4,54.3,95.0,92.0,21.18
598,homer,59.64,36.0,78.0,40.0,4.7
599,baykit,61.68,-31.03,50.0,64.0,2.73
600,verkhnyaya inta,65.99,24.06,85.0,92.0,3.51
601,visnes,59.36,42.19,93.0,75.0,18.34
602,akashi,34.68,57.2,71.0,75.0,17.22
604,barinitas,8.76,75.85,60.0,12.0,2.06
605,soledade,-7.06,87.8,48.0,0.0,16.11
606,alta floresta,-9.87,80.6,88.0,75.0,5.82
607,russell,-33.01,57.63,88.0,24.0,3.06
608,sept-iles,50.2,15.8,78.0,75.0,3.36
609,santo antonio do ica,-3.1,84.04,77.0,56.0,5.19
610,uray,60.13,14.29,86.0,48.0,4.74
611,manggar,-2.88,76.39,100.0,36.0,2.73
612,udachnyy,66.42,-6.95,73.0,64.0,4.41
613,edwardsville,38.81,33.39,90.0,90.0,11.41
614,lubumbashi,-11.66,63.88,92.0,8.0,0.72
615,poum,41.28,14.25,76.0,0.0,1.72
616,lipin bor,60.26,26.44,93.0,76.0,7.09
617,yulara,-25.24,68.0,77.0,0.0,3.36
618,yining,29.04,39.18,99.0,92.0,5.19
619,canton,40.8,32.52,78.0,90.0,14.99
621,porto novo,-23.68,80.6,61.0,75.0,20.8
622,san policarpo,12.18,80.44,94.0,88.0,15.82
623,lokosovo,61.13,8.89,88.0,92.0,8.21
624,dunda,30.62,30.18,75.0,0.0,2.62
